九一散	仅供	外用
未经批准擅自委托	处罚	假药
委托方	涉及	处罚
受托方	涉及	处罚
假药	由	处罚
当归	属于	当归补血汤的组方药材
黄芪	属于	当归补血汤的组方药材
硝酸士的宁	鉴别反应	重铬酸钾
去甲肾上腺素	引起	脉压差变小
番泻叶	包含	番泻苷A
番泻叶	包含	番泻苷B
番泻叶	包含	番泻苷C
番泻叶	包含	番泻苷D
番泻叶	包含	芦荟大黄素双蒽酮苷
卡比多巴	与	左旋多巴
卡比多巴	比例	1:10
左旋多巴	与	卡比多巴
左旋多巴	比例	10:1
左旋多巴	治疗	减少
左旋多巴	有效剂量	减少75%
左旋多巴	作为	卡比多巴的一部分
卡比多巴和左旋多巴	合用	减少左旋多巴剂量
银杏内酯	属于	二萜化合物类型
培训人员	经过	专业培训
培训人员	考核	合格
培训人员	属于	药品入库验收人员
阿莫西林	具有	β-内酰胺并氢化噻唑环结构
专用账册	属于	第二类精神药品经营企业
专用账册	保存期限	5年
高氯酸	属于	滴定液
高氯酸	常用于	非水溶液滴定法
高氯酸	作为	滴定液类型
杜仲	具有	银白色橡胶丝
杜仲	拉伸	1cm以上
杜仲	断开	条件（超过1cm）
槲皮素	属于	黄酮醇类化合物
国务院药品监督管理部门	批准	医疗机构进口少量药品
医疗机构	因临床急需	进口少量药品
医疗机构	进口	少量药品
少量药品	属于	临床急需
少量药品	被批准进口	国务院药品监督管理部门
琥珀酸氢化可的松	治疗	喘息发作
琥珀酸氢化可的松	治疗	心率增快
琥珀酸氢化可的松	治疗	双肺满布哮鸣音
琥珀酸氢化可的松	针对患者	30岁女性
琥珀酸氢化可的松	使用方式	静脉滴注
琥珀酸氢化可的松	医疗情境	初始治疗措施
琥珀酸氢化可的松	属于	药物
免疫脂质体	属于	主动靶向制剂
蔥醌苷类	属于	有机溶剂和水的两相溶剂萃取法
蔥醌苷类	分离	游离蒽醌衍生物
游离蒽醌衍生物	属于	有机溶剂和水的两相溶剂萃取法
游离蒽醌衍生物	被分离	蔥醌苷类
冰糖	增加透明度和硬度	制备胶剂时
冰糖	具有矫味作用	无指定对象
《药品经营许可证管理办法》	属于	法规
《药品经营许可证管理办法》	调整对象	药品经营许可证发证、换证、变更及监督管理
脾虚	导致	腹部胀满
脾虚	治疗原则	塞因塞用
瞿麦	破血通络	无指定客体
硫酸阿托品	属于	药物
硫酸阿托品	是	M胆碱受体拮抗剂
葡萄糖注射液	消毒方式	热压灭菌
葡萄糖注射液	温度	1-115.5℃
葡萄糖注射液	时间	30分钟
枇杷叶	属于	蔷薇科
氧氟沙星	属于	喹诺酮类
过量肝素	导致	出血
硫酸鱼精蛋白	对抗	过量肝素引起的出血
水蛭	阻止	凝血酶催化凝血反应
水蛭	阻止	血小板激活反应
药品标签	字体大小比例	通用名称字体
药品标签	注册商标文字	字体大小
静脉注射	属于	医疗术语
静脉注射	外文缩写	IV
体重	属于	正常成年人
正常成年人	血量占比例	7%到8%
HDL	功能	逆向转运胆固醇
多巴胺	增加	肾血流量
多巴胺	增加	肾小球滤过率
西红花	属于	鸢尾科植物
西红花	来源	鸢尾科植物
热熔法	是	制备方法
热熔法	基质	水溶性材料
热熔法	应用	栓剂制备
头孢曲松	属于	罗氏芬
头孢曲松	制剂包括	罗氏芬
企业药品配方	属于	商业秘密
企业药品配方	侵犯	商业秘密行为
通过盗窃手段	方式	侵犯商业秘密行为
新生儿	分类	婴儿
新生儿	比例	成人量的1/18-1/14
新生儿	使用	药物剂量
国家药品不良反应监测专业机构	不包括	通报全国药品不良反应报告和监测情况    主体    谓词    客体
甘露醇	属于	脱水药
甘露醇	浓度	0.2%
蛤粉	用量	药材
蛤粉	用量	30~50kg
药材	使用	蛤粉
氨苯蝶啶	属于	弱效利尿药
氨苯蝶啶	治疗	利尿
氨苯蝶啶	抑制	Na+-K+交换
氨苯蝶啶	减少	Na+重吸收
非处方药	分类依据	药品的安全性
非处方药	分类	甲类
非处方药	分类	乙类
乙胺丁醇	引起	视神经炎
乙胺丁醇	不适合	儿童
乙胺丁醇	属于	抗结核药物
乙胺丁醇	是	主要不良反应
乙胺丁醇	是典型	抗结核药物
有机磷酸酯类药物	具有	难逆性抗胆碱酯酶作用
医院门急诊	点评	处方
医院门急诊	每月点评	至少100张
处方	属于	门急诊点评
处方	数量	不少于100张
防止裂片现象	不是	包衣的目的
地西泮	属于	药物
地西泮	俗称	安定
酸枣仁	属于	鼠李科植物
甘草	性状特征	表面红棕色或灰棕色
甘草	性状特征	有形成层环纹
甘草	性状特征	放射纹理
甘草	断面特征	黄白色
甘草	断面特征	粉性
结脉	共同点	脉来时止
代脉	共同点	脉来时止
促脉	共同点	脉来时止
醋丁洛尔	属于	β1受体阻断药
醋丁洛尔	具有	内在拟交感活性
纸质处方	属于	电子处方
电子处方	同步保存	纸质处方
电子处方	核发药品	药师
药师	不能凭借	电子处方
盐酸乙胺丁醇	分子成分	手性中心
盐酸乙胺丁醇	手性中心数量	2
盐酸乙胺丁醇	光学异构体数量	3
省级药品监督管理部门	审批	药品生产企业开办申请
省级药品监督管理部门	同意筹建决定	药品生产企业开办申请（期限：30个工作日）
处方调配物	存放方式	不与药物同放
处方调配物	条件	除非注明用法
处方调配物	特定情况	与其他药物同放（注明用法时）
甲苯咪唑	治疗	蛔虫
甲苯咪唑	治疗	蛲虫
甲苯咪唑	治疗	钩虫
甲苯咪唑	治疗	鞭虫
甲苯咪唑	治疗	绦虫
熔点	是	物质的固液转变温度
心	属于	五脏六腑
心	是	大主
三焦	属于	五脏六腑
三焦	是	大主
胃经	属于	五脏六腑
胃经	是	大主
明胶	用于	复凝聚法制备微囊
阿拉伯胶	用于	复凝聚法制备微囊
龙胆草	能够	清泻肝火
龙胆草	能够	清热燥湿
黄体酮	治疗	先兆性流产
黄体酮	治疗	习惯性流产
血浆蛋白质	减少	肾小球滤过率
减少	导致	增加
痰浊	为病	疾病
痰浊	随气上逆	生理过程
痰浊	易蒙蔽清窍	影响客体
痰浊	扰乱心神	影响客体
氰化物中毒	引起	组织性缺氧
干姜	属于	小青龙汤成分
干姜	用意	温肺化饮
细辛	属于	小青龙汤成分
细辛	用意	温肺化饮
心	主宰	生理和心理活动
心	参与	生理和心理活动
地西泮	具有	口服给药方式
地西泮	具有	注射给药方式
地西泮	可以	口服
松萝	属于	药材
松萝	形态	丝状缠绕成团
松萝	气味	气微
松萝	味道	酸
矿石类药材	加工方法	碾捣
磺胺多辛	抑制	疟原虫二氢叶酸合成
大黄	具有	异常维管束
大黄	显微鉴别特征	髓部
药品	表明	适应证
药品	超出	规定范围
药品	按	假药论处
羊毛脂	含有	软膏基质
羊毛脂	具有	吸水性
荆芥	具有	止血作用
荆芥炒炭	转变状态	荆芥
荆芥炒炭	导致	止血作用
锁阳	属于	肉苁蓉
锁阳	功能相似	肉苁蓉
肉苁蓉	属于	锁阳
肉苁蓉	功能相似	锁阳
莱菔子	用于治疗	便秘
石菖蒲	具有功效	化湿开窍
石菖蒲	具有功效	宁心安神
五味子	主含	联苯环辛烯型木脂素
青霉素	抑制	细胞壁粘肽生成
阿昔洛韦	首选药物	艾滋病合并带状疱疹病毒感染
炒黄饮片	含有	药屑杂质
炒黄饮片	杂质含量	0.01%
药屑杂质	属于	炒黄饮片
药屑杂质	杂质标准	不得超过0.01%
地龙	具有作用	增加散热
地龙	解热作用	关键环节
三碘甲状腺原氨酸	作用部位	细胞核内受体
东莨菪碱	具有	中枢抑制作用
东莨菪碱	属于	M胆碱受体阻断药
企业法定代表人	具有	执业药师资格
企业负责人	具有	执业药师资格
豨莶草	能够	降低血压
异丙嗪	阻断	H1受体
异丙嗪	用于	抗过敏
法半夏	属于	中药
法半夏	是	半夏（药物类型）
化疗指数	定义	LD50/ED50
中药虫蛀	导致	有效物质含量降低
中药虫蛀	导致	污染
中药虫蛀	导致	有害微生物繁殖
中药虫蛀	导致	损耗增加
中药虫蛀	可能引起	大部分中药泛油变质
中药虫蛀	不一定会引起	大部分中药泛油变质
地高辛	治疗	高血压
地高辛	治疗	瓣膜病引起的慢性心功能不全
渗漉法	是	制备流浸膏剂的方法
渗漉法	常用	流浸膏剂的制备
每分肺泡通气量	评价指标	肺通气效率
每分肺泡通气量	衡量标准	肺通气效率
自然铜	是	煅制品
自然铜	用于调配	处方
处方	需要	自然铜（煅制品）
脂质体	不包括	肠溶性
丙烯酸Ⅱ号树脂	属于	包肠衣材料
大实有羸状	病机	真实假虚
组织破碎提取法	用于	植物快速提取鞣质类成分
组织破碎提取法	目的	防止成分破坏
肌内注射	缩写	im.
普萘洛尔	诱发	支气管哮喘
Span-80	属于	混合物
Tween-80	属于	混合物
混合物	具有	HLB值
混合物	具有	9.65
Span-80	和Tween-80	混合
开办药品经营企业	不具备	能对所经营药品进行质量检验的机构
去核	方法	净制诃子
筒箭毒碱	导致	中毒
新斯的明	治疗	筒箭毒碱中毒
酚苄明	属于	α受体阻断药
药物制剂	物理配伍变化	析出沉淀或分层
药物制剂	物理配伍变化	潮解
药物制剂	物理配伍变化	液化
药物制剂	物理配伍变化	结块
药物制剂	物理配伍变化	分散状态变化
药物制剂	物理配伍变化	粒径变化
石决明	煅烧	灰白色或青灰色易碎状态
石决明	煅烧条件	完成时的状态
石决明	功能	固涩收敛
石决明	功能	明目
奥沙西泮	水解产物	重氮化偶合反应产物
手指	导致	严重、危险的不良反应
脚趾	导致	严重、危险的不良反应
糖浆剂	制备方法	热溶法
糖浆剂	制备方法	冷溶法
葶苈子	含有	挥发油
葶苈子	含有	脂肪油
葶苈子	含有	强心苷类成分
药师	分类	执业药师
执业药师	属于	药师
固冲汤	体现	益气摄血法
大黄	具有	泻下攻积的功效
大黄	具有	逐瘀通经的功效
大黄	具有	凉血解毒的功效
生产者	导致	中度残疾
销售者	导致	中度残疾
假药	对人体健康造成	严重危害
血管收缩药	不属于	抗高血压药类别
5-Fu	属于	嘧啶类似物
5-Fu	是	药物
颗粒剂	包含	蔗糖
颗粒剂	易受潮	结块
挥发油	区别于	脂肪油
挥发油	特性	挥发性
脂肪油	不具备	挥发性
小柴胡汤	组成	柴胡
小柴胡汤	组成	黄芩
小柴胡汤	组成	半夏
小柴胡汤	组成	人参
小柴胡汤	组成	炙甘草
小柴胡汤	组成	生姜
小柴胡汤	组成	大枣
苯佐那酯	属于	药物
苯佐那酯	不抑制呼吸	属性
苯佐那酯	是	镇咳药
苯佐那酯	作用部位	外周
线型呋喃香豆素	由	香豆素7-羟基和6-异戊烯基缩合
线型呋喃香豆素	属于	香豆素
线型呋喃香豆素	成分	6-异戊烯基
胰岛素	可能导致	过敏性休克
过敏性休克	可能由	胰岛素引起
过敏性休克	较轻	反应
甘油	可作为	软胶囊剂基质
甘油	可用于	皮肤滋润
提高患者依从性	包含	用药指导内容
用药指导内容	不包括	药品价格
牡丹皮	治疗	肠痈腹痛
僵蚕	具有功效	性平
僵蚕	具有功效	息风止痉
僵蚕	具有功效	化痰散结
四制香附	不包含	炼蜜
甘草	包含	甘草皂苷
甘草皂苷	具有	抗炎作用
甘草皂苷	具有	抗过敏作用
季铵类生物碱	大于	脂胺类生物碱
脂胺类生物碱	大于	酰胺生物碱
酰胺生物碱	大于	咖啡碱
咖啡碱	不属于	季铵类生物碱
咖啡碱	不属于	脂胺类生物碱
咖啡碱	不属于	酰胺生物碱
豆蔻药材	主要成分	挥发油
挥发油	主要包含	桉油精
异丙托溴铵分子	包含	托品酸
托品酸	是	消旋体
托品酸	在酸碱条件下	不均比较稳定
大柴胡汤	治疗	少阳阳明合病
热敏脂质体	不属于	主动耙向制剂
血浆药物总清除率	属于	TBCl
一氧化碳中毒	导致	昏迷
美托洛尔	属于	β受体阻断药
普萘洛尔	不适合治疗	变异型心绞痛
金黄色葡萄球菌	参与	协同凝集试验
泻南补北	属于	中医治疗方法
泻南补北	基于	五行相克规律
泻南补北	治疗原则	疾病状况
含聚氧乙烯基非离子型表面活性剂	特征值	浊点
含聚氧乙烯基非离子型表面活性剂	属于	特征值
含聚氧乙烯基非离子型表面活性剂	表示	浊点值
多柔比星	属于	抗肿瘤抗生素
华法林	属于	抗凝血药
华法林	影响	血浆蛋白浓度
华法林	治疗	血栓形成（潜在副作用，因为游离药物浓度增加）
药学职业	属于	专业群体
药学职业	经过	药学教育和技术训练
药学职业	具备	药学工作能力
药学职业	遵守	药学伦理
药学职业	服务	人类健康
